Year,Month,Day,Event
2010,August,13,F13
2011,May,13,F13
2012,January,13,F13
2012,April,13,F13
2012,July,13,F13
2013,September,13,F13
2013,December,13,F13
2014,June,13,F13
2015,February,13,F13
2015,March,13,F13
2015,November,13,F13
2016,May,13,F13
2017,January,13,F13
2017,October,13,F13
2018,April,13,F13
2018,July,13,F13
2019,September,13,F13
2019,December,13,F13
2020,March,13,F13
2020,November,13,F13
2021,August,13,F13
2022,May,13,F13
2023,January,13,F13
2023,October,13,F13
2024,September,13,F13
2024,December,13,F13
2025,June,13,F13
2026,February,13,F13
2026,March,13,F13
2026,November,13,F13
2027,August,13,F13
2028,October,13,F13
2029,April,13,F13
2029,July,13,F13
2030,September,13,F13
2030,December,13,F13
2031,June,13,F13
2032,February,13,F13
2032,August,13,F13
2033,May,13,F13
2034,January,13,F13
2034,October,13,F13
2035,April,13,F13
2035,July,13,F13
2036,June,13,F13
2037,February,13,F13
2037,March,13,F13
2037,November,13,F13
2038,August,13,F13
2039,May,13,F13
2040,January,13,F13
2040,April,13,F13
2040,July,13,F13
2041,September,13,F13
2041,December,13,F13
2042,June,13,F13
2043,February,13,F13
2043,March,13,F13
2043,November,13,F13
2044,May,13,F13
2045,January,13,F13
2045,October,13,F13
2046,April,13,F13
2046,July,13,F13
2047,September,13,F13
2047,December,13,F13
2048,March,13,F13
2048,November,13,F13
2049,August,13,F13
2050,May,13,F13
