Player,Week,Points ,Wins
JS,1,137,0
RJ,1,146.6,1
TG,1,129.8,1
JM,1,108.2,0
CL,1,74.4,0
JW,1,113.7,1
CJ,1,138.1,0
DF,1,185.4,1
LS,1,119.6,0
SD,1,129.1,1
JS,2,150.7,1
RJ,2,182.8,1
TG,2,123.1,1
JM,2,141.3,1
CL,2,114.9,0
JW,2,115.8,0
CJ,2,110.2,0
DF,2,123.1,0
LS,2,120.4,0
SD,2,142.5,1
JS,3,97.9,0
RJ,3,120.3,0
TG,3,98.4,0
JM,3,99.9,1
CL,3,84.6,0
JW,3,112.4,1
CJ,3,130.7,1
DF,3,136.4,1
LS,3,119.6,1
SD,3,101.3,0
JS,4,91.9,0
RJ,4,165.4,1
TG,4,114.1,1
JM,4,117.6,0
CL,4,133.4,1
JW,4,168.6,1
CJ,4,96.1,0
DF,4,177.2,1
LS,4,156.5,0
SD,4,128.1,0
JS,5,103.6,0
RJ,5,166.8,1
TG,5,134.3,0
JM,5,115.1,1
CL,5,137.6,1
JW,5,129.9,1
CJ,5,140.7,1
DF,5,101.8,0
LS,5,100.3,0
SD,5,113.8,0
JS,6,96.7,0
RJ,6,142.9,0
TG,6,134.9,0
JM,6,167.4,1
CL,6,143.8,1
JW,6,129.5,1
CJ,6,144.8,1
DF,6,105.8,0
LS,6,139.8,1
SD,6,114.1,0
JS,7,110.6,0
RJ,7,137.4,1
TG,7,78.5,0
JM,7,144.5,1
CL,7,145.8,0
JW,7,73.5,0
CJ,7,134.3,0
DF,7,162,1
LS,7,139.6,1
SD,7,95.7,1
JS,8,144.6,1
RJ,8,158.6,1
TG,8,104.2,0
JM,8,118.1,1
CL,8,131.6,0
JW,8,146.2,1
CJ,8,86.1,0
DF,8,152.1,1
LS,8,115.4,0
SD,8,120.3,0
JS,9,124.5,1
RJ,9,144.5,1
TG,9,141.2,1
JM,9,98.4,0
CL,9,141.3,1
JW,9,104.1,0
CJ,9,141.3,1
DF,9,119,0
LS,9,129.4,0
SD,9,90.5,0
JS,10,106.2,1
RJ,10,123.8,0
TG,10,130.5,1
JM,10,147.6,1
CL,10,96.9,0
JW,10,101.8,0
CJ,10,115.2,0
DF,10,123,1
LS,10,147.3,0
SD,10,174.1,1
JS,11,116.4,0
RJ,11,63,0
TG,11,124.5,0
JM,11,119.9,1
CL,11,113.9,1
JW,11,129.3,1
CJ,11,107.9,0
DF,11,158.6,1
LS,11,146.6,1
SD,11,133,0
JS,12,109.6,0
RJ,12,105.2,1
TG,12,142,1
JM,12,162.9,1
CL,12,125.2,0
JW,12,167,1
CJ,12,77.8,0
DF,12,98.8,0
LS,12,139.5,0
SD,12,167.1,1
JS,13,110.1,0
RJ,13,118.7,1
TG,13,119.4,1
JM,13,101.6,0
CL,13,86.2,0
JW,13,125.4,1
CJ,13,96,0
DF,13,122.6,1
LS,13,98.3,0
SD,13,184.6,1
